Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Hungary,HUN,27,10,5
Germany FR,FRG,25,14,6
Austria,AUT,17,12,5
Uruguay,URU,16,9,5
Switzerland,SUI,11,11,4
Turkey,TUR,10,11,3
Brazil,BRA,8,5,3
England,ENG,8,8,3
Italy,ITA,6,7,3
Belgium,BEL,5,8,2
France,FRA,3,3,2
Mexico,MEX,2,8,2
Yugoslavia,YUG,2,3,3
