Country,CountryCode,MatchesPlayed,RedCards,YellowCards
Brazil,BRA,3,2,0
Hungary,HUN,5,1,0
Belgium,BEL,2,0,0
Korea Republic,KOR,2,0,0
Mexico,MEX,2,0,0
Scotland,SCO,2,0,0
France,FRA,2,0,0
Czechoslovakia,TCH,2,0,0
Turkey,TUR,3,0,0
Yugoslavia,YUG,3,0,0
England,ENG,3,0,0
Italy,ITA,3,0,0
Switzerland,SUI,4,0,0
Uruguay,URU,5,0,0
Austria,AUT,5,0,0
Germany FR,FRG,6,0,0
