CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
GER,5,7,587,Miroslav KLOSE
ARG,3,4,308,Hernan CRESPO
BRA,3,5,411,RONALDO
FRA,3,6,559,Zinedine ZIDANE
ESP,3,4,244,David VILLA
ESP,3,4,290,Fernando TORRES
ARG,3,5,495,Maxi RODRIGUEZ
GER,3,7,636,Lukas PODOLSKI
FRA,3,7,636,Thierry HENRY
GER,2,7,529,Bastian SCHWEINSTEIGER
FRA,2,7,587,Patrick VIEIRA
ECU,2,3,263,Agustin DELGADO
UKR,2,5,474,Andriy SHEVCHENKO
CIV,2,3,153,Aruna DINDANE
POL,2,2,180,Bartosz BOSACKI
ECU,2,3,182,Carlos TENORIO
BRA,2,4,266,ADRIANO
CZE,2,3,266,Tomas ROSICKY
CRC,2,3,270,Paulo WANCHOPE
MEX,2,3,270,Omar BRAVO
AUS,2,4,273,Tim CAHILL
ITA,2,4,363,Marco MATERAZZI
SUI,2,4,384,Alexander FREI
ENG,2,5,410,Steven GERRARD
ITA,2,6,483,Luca TONI
POR,2,7,565,MANICHE
ITA,1,7,467,Francesco TOTTI
ITA,1,7,668,Andrea PIRLO
AUS,1,4,72,John ALOISI
ARG,1,3,218,Javier SAVIOLA
UKR,1,4,330,Maksym KALINICHENKO
ENG,1,5,409,David BECKHAM
ARG,1,3,121,Lionel MESSI
SWE,1,4,165,Marcus ALLBACK
ECU,1,4,178,Ivan KAVIEDES
MEX,1,4,188,ZINHA
TUN,1,3,225,Zied JAZIRI
GHA,1,3,255,Asamoah GYAN
CRC,1,3,262,Ronald GOMEZ
NED,1,3,270,Arjen ROBBEN
ARG,1,4,286,Carlos TEVEZ
ITA,1,5,306,Alberto GILARDINO
NED,1,4,337,Robin VAN PERSIE
GHA,1,4,360,Stephen APPIAH
ENG,1,5,390,Joe COLE
SUI,1,4,390,Tranquillo BARNETTA
POR,1,7,407,SIMAO
BRA,1,5,413,KAKA
POR,1,6,434,PAULETA
FRA,1,7,516,Franck RIBERY
ITA,1,6,600,Gianluca ZAMBROTTA
BRA,1,1,2,FRED
ITA,1,1,30,Filippo INZAGHI
ANG,1,1,39,ABOU TARIKA
POR,1,2,42,NUNO GOMES
CZE,1,1,45,Jan KOLLER
PAR,1,2,46,Nelson CUEVAS
CIV,1,2,72,Bonaventure KALOU
KOR,1,3,89,AHN Jung Hwan
KSA,1,3,89,Sami AL JABER
BRA,1,1,90,GILBERTO MELO
ESP,1,1,90,JUANITO
IRN,1,2,92,Sohrab BAKHTIARIZADEH
SCG,1,2,111,Nikola ZIGIC
JPN,1,2,119,Keiji TAMADA
CIV,1,3,120,Bakary KONE
GER,1,7,138,Oliver NEUVILLE
USA,1,2,152,Clint DEMPSEY
ITA,1,5,169,Alessandro DEL PIERO
GHA,1,2,170,Haminu DRAMAN
KSA,1,2,172,Yasser AL KAHTANI
IRN,1,2,178,Yahya GOLMOHAMMADI
UKR,1,4,178,Serhiy REBROV
ESP,1,4,179,RAUL
CIV,1,2,180,Didier DROGBA
BRA,1,3,182,JUNINHO PERNAMBUCANO
ITA,1,5,187,Vincenzo IAQUINTA
NED,1,3,198,Ruud VAN NISTELROOIJ
AUS,1,3,214,Harry KEWELL
CRO,1,3,221,Niko KOVAC
SUI,1,3,233,Philippe SENDEROS
ESP,1,3,235,Xabi ALONSO
KOR,1,3,252,LEE Chun Soo
MEX,1,4,264,Jose FONSECA
CRO,1,3,267,Darijo SRNA
TUN,1,3,270,Jaouhar MNARI
GHA,1,3,270,Sulley MUNTARI
JPN,1,3,270,Shunsuke NAKAMURA
KOR,1,3,270,PARK Ji Sung
TUN,1,3,270,Radhi JAIDI
TOG,1,3,270,MOHAMED KADER
AUS,1,4,310,Craig MOORE
UKR,1,4,314,Andriy RUSOL
ENG,1,4,321,Peter CROUCH
POR,1,4,338,DECO
SWE,1,4,360,Henrik LARSSON
SWE,1,4,360,Fredrik LJUNGBERG
ARG,1,5,377,Esteban CAMBIASSO
BRA,1,5,379,ZE ROBERTO
MEX,1,4,390,Rafael MARQUEZ
ARG,1,5,510,Roberto AYALA
POR,1,6,514,CRISTIANO RONALDO
GER,1,6,541,Torsten FRINGS
ITA,1,6,600,Fabio GROSSO
GER,1,7,690,Philipp LAHM
