CountryCode,MatchesPlayed,Player,RedCards,YellowCards
GHA,3,Derek BOATENG,0,1
IRN,3,Hossein KAEBI,0,1
ECU,3,Segundo CASTILLO,0,1
NED,3,John HEITINGA,0,1
NED,3,Arjen ROBBEN,0,1
ECU,3,Ivan HURTADO,0,1
CRC,3,Ronald GOMEZ,0,1
BRA,3,EMERSON,0,1
TUN,3,Hatem TRABELSI,0,1
USA,3,Oguchi ONYEWU,0,1
SCG,3,Dejan STANKOVIC,0,1
TOG,3,Massamasso TCHANGAI,0,1
KSA,3,Ahmed AL DOSARI,0,1
KOR,3,CHOI Jin Cheul,0,1
ANG,3,JOAO RICARDO,0,1
PAR,3,Denis CANIZA,0,1
KOR,3,AHN Jung Hwan,0,1
PAR,3,Roberto ACUNA,0,1
JPN,3,Yoshikatsu KAWAGUCHI,0,1
CRO,3,Niko KOVAC,0,1
CRC,3,Mauricio SOLIS,0,1
POL,3,Jacek BAK,0,1
USA,3,Claudio REYNA,0,1
TRI,3,Dwight YORKE,0,1
KSA,3,Sami AL JABER,0,1
TRI,3,Brent SANCHO,0,1
POL,3,Michal ZEWLAKOW,0,1
POL,3,Jacek KRZYNOWEK,0,1
SUI,3,Hakan YAKIN,0,1
ARG,3,Javier SAVIOLA,0,1
TOG,3,Emmanuel ADEBAYOR,0,1
ANG,3,MENDONCA,0,1
SUI,3,Ludovic MAGNIN,0,1
NED,3,Rafael VAN DER VAART,0,1
CRO,3,Stipe PLETIKOSA,0,1
SCG,3,Igor DULJAJ,0,1
SCG,3,Mladen KRSTAJIC,0,1
CZE,3,Zdenek GRYGERA,0,1
CZE,3,Tomas ROSICKY,0,1
CIV,3,Aruna DINDANE,0,1
ANG,3,DELGADO,0,1
CIV,3,Didier ZOKORA,0,1
JPN,3,Naohiro TAKAHARA,0,1
AUS,4,Jason CULINA,0,1
ENG,4,Jamie CARRAGHER,0,1
SUI,4,Alexander FREI,0,1
SWE,4,Tobias LINDEROTH,0,1
SUI,4,Ricardo CABANAS,0,1
ECU,4,Edison MENDEZ,0,1
SWE,4,Henrik LARSSON,0,1
SWE,4,Niclas ALEXANDERSSON,0,1
AUS,4,John ALOISI,0,1
AUS,4,Craig MOORE,0,1
NED,4,Andre OOIJER,0,1
SUI,4,Johann VOGEL,0,1
SUI,4,Raphael WICKY,0,1
ARG,4,Hernan CRESPO,0,1
BRA,4,ADRIANO,0,1
SWE,4,Fredrik LJUNGBERG,0,1
GHA,4,John PANTSIL,0,1
GHA,4,John MENSAH,0,1
SWE,4,Mattias JONSON,0,1
GHA,4,Illiasu SHILLA,0,1
ESP,4,Cesc FABREGAS,0,1
SUI,4,Philipp DEGEN,0,1
BRA,4,ROBINHO,0,1
ENG,4,Peter CROUCH,0,1
MEX,4,Gonzalo PINEDA,0,1
SUI,4,Tranquillo BARNETTA,0,1
NED,4,Wesley SNEIJDER,0,1
MEX,4,Jose FONSECA,0,1
ECU,4,Cristian MORA,0,1
UKR,4,Artem MILEVSKIY,0,1
MEX,4,ZINHA,0,1
MEX,4,Carlos SALCIDO,0,1
GHA,4,Eric ADDO,0,1
UKR,5,Oleg SHELAYEV,0,1
ITA,5,Vincenzo IAQUINTA,0,1
ENG,5,Steven GERRARD,0,1
ENG,5,Paul ROBINSON,0,1
ENG,5,Frank LAMPARD,0,1
ARG,5,Esteban CAMBIASSO,0,1
ARG,5,Maxi RODRIGUEZ,0,1
UKR,5,Andriy NESMACHNYI,0,1
UKR,5,Anatoliy TYMOSCHUK,0,1
BRA,5,LUCIO,0,1
GER,5,Michael BALLACK,0,1
POR,6,PAULETA,0,1
POR,6,MIGUEL,0,1
GER,6,Arne FRIEDRICH,0,1
POR,6,CRISTIANO RONALDO,0,1
ITA,6,Fabio GROSSO,0,1
FRA,6,Florent MALOUDA,0,1
FRA,7,Franck RIBERY,0,1
GER,7,Bastian SCHWEINSTEIGER,0,1
GER,7,Lukas PODOLSKI,0,1
FRA,7,Patrick VIEIRA,0,1
FRA,7,Lilian THURAM,0,1
ITA,7,Francesco TOTTI,0,1
POR,7,LUIS FIGO,0,1
POR,7,RICARDO,0,1
