Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
34107,MEX,0,Mexico,Solna,08 June 1958,Group matches - Group 3,SWE,3,Sweden,https://www.fifa.com/worldcup/matches/round=220/match=1415/index.html#nosticky,
49348,ENG,2,England,Gothenburg,08 June 1958,Group matches - Group 4,URS,2,Soviet Union,https://www.fifa.com/worldcup/matches/round=220/match=1372/index.html#nosticky,
31156,FRG,3,Germany FR,Malm̦,08 June 1958,Group matches - Group 1,ARG,1,Argentina,https://www.fifa.com/worldcup/matches/round=220/match=1323/index.html#nosticky,
15343,WAL,1,Wales,Sandviken,08 June 1958,Group matches - Group 3,HUN,1,Hungary,https://www.fifa.com/worldcup/matches/round=220/match=1407/index.html#nosticky,
16518,PAR,3,Paraguay,Norrk̦Ping,08 June 1958,Group matches - Group 2,FRA,7,France,https://www.fifa.com/worldcup/matches/round=220/match=1386/index.html#nosticky,
9591,SCO,1,Scotland,Vasteras,08 June 1958,Group matches - Group 2,YUG,1,Yugoslavia,https://www.fifa.com/worldcup/matches/round=220/match=1434/index.html#nosticky,
17788,AUT,0,Austria,Udevalla,08 June 1958,Group matches - Group 4,BRA,3,Brazil,https://www.fifa.com/worldcup/matches/round=220/match=1326/index.html#nosticky,
10647,TCH,0,Czechoslovakia,Halmstad,08 June 1958,Group matches - Group 1,NIR,1,Northern Ireland,https://www.fifa.com/worldcup/matches/round=220/match=1421/index.html#nosticky,
40895,ENG,0,England,Gothenburg,11 June 1958,Group matches - Group 4,BRA,0,Brazil,https://www.fifa.com/worldcup/matches/round=220/match=1339/index.html#nosticky,
15150,WAL,1,Wales,Solna,11 June 1958,Group matches - Group 3,MEX,1,Mexico,https://www.fifa.com/worldcup/matches/round=220/match=1418/index.html#nosticky,
11665,SCO,2,Scotland,Norrk̦Ping,11 June 1958,Group matches - Group 2,PAR,3,Paraguay,https://www.fifa.com/worldcup/matches/round=220/match=1423/index.html#nosticky,
12217,FRA,2,France,Vasteras,11 June 1958,Group matches - Group 2,YUG,3,Yugoslavia,https://www.fifa.com/worldcup/matches/round=220/match=1388/index.html#nosticky,
21239,AUT,0,Austria,Boras,11 June 1958,Group matches - Group 4,URS,2,Soviet Union,https://www.fifa.com/worldcup/matches/round=220/match=1332/index.html#nosticky,
25000,TCH,2,Czechoslovakia,Helsingborg,11 June 1958,Group matches - Group 1,FRG,2,Germany FR,https://www.fifa.com/worldcup/matches/round=220/match=1391/index.html#nosticky,
14174,NIR,1,Northern Ireland,Halmstad,11 June 1958,Group matches - Group 1,ARG,3,Argentina,https://www.fifa.com/worldcup/matches/round=220/match=1324/index.html#nosticky,
38850,HUN,1,Hungary,Solna,12 June 1958,Group matches - Group 3,SWE,2,Sweden,https://www.fifa.com/worldcup/matches/round=220/match=1406/index.html#nosticky,
30287,WAL,0,Wales,Solna,15 June 1958,Group matches - Group 3,SWE,0,Sweden,https://www.fifa.com/worldcup/matches/round=220/match=1438/index.html#nosticky,
50928,URS,0,Soviet Union,Gothenburg,15 June 1958,Group matches - Group 4,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=220/match=1344/index.html#nosticky,
21990,NIR,2,Northern Ireland,Malm̦,15 June 1958,Group matches - Group 1,FRG,2,Germany FR,https://www.fifa.com/worldcup/matches/round=220/match=1389/index.html#nosticky,
13300,MEX,0,Mexico,Sandviken,15 June 1958,Group matches - Group 3,HUN,4,Hungary,https://www.fifa.com/worldcup/matches/round=220/match=1403/index.html#nosticky,
13103,YUG,3,Yugoslavia,Eskilstuna,15 June 1958,Group matches - Group 2,PAR,3,Paraguay,https://www.fifa.com/worldcup/matches/round=220/match=1426/index.html#nosticky,
13554,SCO,1,Scotland,Orebro,15 June 1958,Group matches - Group 2,FRA,2,France,https://www.fifa.com/worldcup/matches/round=220/match=1387/index.html#nosticky,
15872,AUT,2,Austria,Boras,15 June 1958,Group matches - Group 4,ENG,2,England,https://www.fifa.com/worldcup/matches/round=220/match=1327/index.html#nosticky,
16418,ARG,1,Argentina,Helsingborg,15 June 1958,Group matches - Group 1,TCH,6,Czechoslovakia,https://www.fifa.com/worldcup/matches/round=220/match=1325/index.html#nosticky,
23182,ENG,0,England,Gothenburg,17 June 1958,Group matches - Group 4,URS,1,Soviet Union,https://www.fifa.com/worldcup/matches/round=220/match=1373/index.html#nosticky,
6196,TCH,1,Czechoslovakia,Malm̦,17 June 1958,Group matches - Group 1,NIR,2,Northern Ireland,https://www.fifa.com/worldcup/matches/round=220/match=1422/index.html#nosticky,
2823,HUN,1,Hungary,Solna,17 June 1958,Group matches - Group 3,WAL,2,Wales,https://www.fifa.com/worldcup/matches/round=220/match=1408/index.html#nosticky,
25923,WAL,0,Wales,Gothenburg,19 June 1958,Quarter-finals,BRA,1,Brazil,https://www.fifa.com/worldcup/matches/round=221/match=1345/index.html#nosticky,
20055,YUG,0,Yugoslavia,Malm̦,19 June 1958,Quarter-finals,FRG,1,Germany FR,https://www.fifa.com/worldcup/matches/round=221/match=1392/index.html#nosticky,
31900,URS,0,Soviet Union,Solna,19 June 1958,Quarter-finals,SWE,2,Sweden,https://www.fifa.com/worldcup/matches/round=221/match=1437/index.html#nosticky,
11800,NIR,0,Northern Ireland,Norrk̦Ping,19 June 1958,Quarter-finals,FRA,4,France,https://www.fifa.com/worldcup/matches/round=221/match=1385/index.html#nosticky,
49471,FRG,1,Germany FR,Gothenburg,24 June 1958,Semi-finals,SWE,3,Sweden,https://www.fifa.com/worldcup/matches/round=488/match=1390/index.html#nosticky,
27100,FRA,2,France,Solna,24 June 1958,Semi-finals,BRA,5,Brazil,https://www.fifa.com/worldcup/matches/round=488/match=1340/index.html#nosticky,
32483,FRG,3,Germany FR,Gothenburg,28 June 1958,Match for third place,FRA,6,France,https://www.fifa.com/worldcup/matches/round=3483/match=1382/index.html#nosticky,
49737,SWE,2,Sweden,Solna,29 June 1958,Final,BRA,5,Brazil,https://www.fifa.com/worldcup/matches/round=3482/match=1343/index.html#nosticky,
