Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
62000,YUG,0,Yugoslavia,Frankfur,13 June 1974,Group matches - Group 2,BRA,0,Brazil,https://www.fifa.com/worldcup/matches/round=262/match=1986/index.html#nosticky,
81100,CHI,0,Chile,Berlin West,14 June 1974,Group matches - Group 1,FRG,1,Germany FR,https://www.fifa.com/worldcup/matches/round=262/match=2003/index.html#nosticky,
17000,AUS,0,Australia,Hamburg,14 June 1974,Group matches - Group 1,GDR,2,German DR,https://www.fifa.com/worldcup/matches/round=262/match=1955/index.html#nosticky,
27000,SCO,2,Scotland,Dortmund,14 June 1974,Group matches - Group 2,ZAI,0,Zaire,https://www.fifa.com/worldcup/matches/round=262/match=2176/index.html#nosticky,
55100,NED,2,Netherlands,Hanover,15 June 1974,Group matches - Group 3,URU,0,Uruguay,https://www.fifa.com/worldcup/matches/round=262/match=2098/index.html#nosticky,
23800,BUL,0,Bulgaria,DÃ¼Sseldorf,15 June 1974,Group matches - Group 3,SWE,0,Sweden,https://www.fifa.com/worldcup/matches/round=262/match=1995/index.html#nosticky,
53000,HAI,1,Haiti,Munich,15 June 1974,Group matches - Group 4,ITA,3,Italy,https://www.fifa.com/worldcup/matches/round=262/match=2083/index.html#nosticky,
32700,ARG,2,Argentina,Stuttgart,15 June 1974,Group matches - Group 4,POL,3,Poland,https://www.fifa.com/worldcup/matches/round=262/match=1952/index.html#nosticky,
53300,FRG,3,Germany FR,Hamburg,18 June 1974,Group matches - Group 1,AUS,0,Australia,https://www.fifa.com/worldcup/matches/round=262/match=1954/index.html#nosticky,
62000,BRA,0,Brazil,Frankfur,18 June 1974,Group matches - Group 2,SCO,0,Scotland,https://www.fifa.com/worldcup/matches/round=262/match=1985/index.html#nosticky,
28300,GDR,1,German DR,Berlin West,18 June 1974,Group matches - Group 1,CHI,1,Chile,https://www.fifa.com/worldcup/matches/round=262/match=2004/index.html#nosticky,
31700,ZAI,0,Zaire,Gelsenkirchen,18 June 1974,Group matches - Group 2,YUG,9,Yugoslavia,https://www.fifa.com/worldcup/matches/round=262/match=2186/index.html#nosticky,
53700,SWE,0,Sweden,Dortmund,19 June 1974,Group matches - Group 3,NED,0,Netherlands,https://www.fifa.com/worldcup/matches/round=262/match=2097/index.html#nosticky,
13400,URU,1,Uruguay,Hanover,19 June 1974,Group matches - Group 3,BUL,1,Bulgaria,https://www.fifa.com/worldcup/matches/round=262/match=1996/index.html#nosticky,
25300,POL,7,Poland,Munich,19 June 1974,Group matches - Group 4,HAI,0,Haiti,https://www.fifa.com/worldcup/matches/round=262/match=2085/index.html#nosticky,
70100,ITA,1,Italy,Stuttgart,19 June 1974,Group matches - Group 4,ARG,1,Argentina,https://www.fifa.com/worldcup/matches/round=262/match=1949/index.html#nosticky,
56000,YUG,1,Yugoslavia,Frankfur,22 June 1974,Group matches - Group 2,SCO,1,Scotland,https://www.fifa.com/worldcup/matches/round=262/match=2175/index.html#nosticky,
17400,CHI,0,Chile,Berlin West,22 June 1974,Group matches - Group 1,AUS,0,Australia,https://www.fifa.com/worldcup/matches/round=262/match=1953/index.html#nosticky,
36200,BRA,3,Brazil,Gelsenkirchen,22 June 1974,Group matches - Group 2,ZAI,0,Zaire,https://www.fifa.com/worldcup/matches/round=262/match=1987/index.html#nosticky,
60200,FRG,0,Germany FR,Hamburg,22 June 1974,Group matches - Group 1,GDR,1,German DR,https://www.fifa.com/worldcup/matches/round=262/match=2062/index.html#nosticky,
53300,NED,4,Netherlands,Dortmund,23 June 1974,Group matches - Group 3,BUL,1,Bulgaria,https://www.fifa.com/worldcup/matches/round=262/match=1990/index.html#nosticky,
25900,HAI,1,Haiti,Munich,23 June 1974,Group matches - Group 4,ARG,4,Argentina,https://www.fifa.com/worldcup/matches/round=262/match=1947/index.html#nosticky,
28300,URU,0,Uruguay,DÃ¼Sseldorf,23 June 1974,Group matches - Group 3,SWE,3,Sweden,https://www.fifa.com/worldcup/matches/round=262/match=2181/index.html#nosticky,
70100,ITA,1,Italy,Stuttgart,23 June 1974,Group matches - Group 4,POL,2,Poland,https://www.fifa.com/worldcup/matches/round=262/match=2129/index.html#nosticky,
67385,FRG,2,Germany FR,DÃ¼Sseldorf,26 June 1974,Second round - Group B,YUG,0,Yugoslavia,https://www.fifa.com/worldcup/matches/round=263/match=2066/index.html#nosticky,
59863,GDR,0,German DR,Hanover,26 June 1974,Second round - Group A,BRA,1,Brazil,https://www.fifa.com/worldcup/matches/round=263/match=1982/index.html#nosticky,
56548,ARG,0,Argentina,Gelsenkirchen,26 June 1974,Second round - Group A,NED,4,Netherlands,https://www.fifa.com/worldcup/matches/round=263/match=1948/index.html#nosticky,
44955,POL,1,Poland,Stuttgart,26 June 1974,Second round - Group B,SWE,0,Sweden,https://www.fifa.com/worldcup/matches/round=263/match=2167/index.html#nosticky,
39400,BRA,2,Brazil,Hanover,30 June 1974,Second round - Group A,ARG,1,Argentina,https://www.fifa.com/worldcup/matches/round=263/match=1945/index.html#nosticky,
58000,YUG,1,Yugoslavia,Frankfur,30 June 1974,Second round - Group B,POL,2,Poland,https://www.fifa.com/worldcup/matches/round=263/match=2170/index.html#nosticky,
68348,NED,2,Netherlands,Gelsenkirchen,30 June 1974,Second round - Group A,GDR,0,German DR,https://www.fifa.com/worldcup/matches/round=263/match=2067/index.html#nosticky,
