Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
France,FRA,23,15,6
Brazil,BRA,16,4,6
Sweden,SWE,12,7,6
Germany FR,FRG,12,14,6
Paraguay,PAR,9,12,3
Czechoslovakia,TCH,9,6,4
Yugoslavia,YUG,7,7,4
Hungary,HUN,7,5,4
Northern Ireland,NIR,6,10,5
Argentina,ARG,5,10,3
Soviet Union,URS,5,6,5
Scotland,SCO,4,6,3
England,ENG,4,5,4
Wales,WAL,4,4,5
Austria,AUT,2,7,3
Mexico,MEX,1,8,3
