Country,CountryCode,MatchesPlayed,RedCards,YellowCards
Hungary,HUN,4,1,0
Czechoslovakia,TCH,4,1,0
Germany FR,FRG,6,1,0
Scotland,SCO,3,0,0
Mexico,MEX,3,0,0
Argentina,ARG,3,0,0
Paraguay,PAR,3,0,0
Austria,AUT,3,0,0
England,ENG,4,0,0
Yugoslavia,YUG,4,0,0
Wales,WAL,5,0,0
Soviet Union,URS,5,0,0
Northern Ireland,NIR,5,0,0
Brazil,BRA,6,0,0
France,FRA,6,0,0
Sweden,SWE,6,0,0
