Country,CountryCode,MatchesPlayed,RedCards,YellowCards
Argentina,ARG,4,2,3
Uruguay,URU,4,2,1
Soviet Union,URS,6,1,3
Germany FR,FRG,6,0,4
Bulgaria,BUL,3,0,3
England,ENG,6,0,2
Portugal,POR,6,0,2
Spain,ESP,3,0,1
Brazil,BRA,3,0,1
Chile,CHI,3,0,1
Mexico,MEX,3,0,0
France,FRA,3,0,0
Switzerland,SUI,3,0,0
Italy,ITA,3,0,0
Hungary,HUN,4,0,0
Korea DPR,PRK,4,0,0
