Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
95000,BEL,1,Belgium,Barcelona,13 June 1982,Group matches - Group 3,ARG,0,Argentina,https://www.fifa.com/worldcup/matches/round=293/match=749/index.html#nosticky,
33000,POL,0,Poland,Vigo,14 June 1982,Group matches - Group 1,ITA,0,Italy,https://www.fifa.com/worldcup/matches/round=293/match=995/index.html#nosticky,
68000,URS,1,Soviet Union,Seville,14 June 1982,Group matches - Group 6,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=293/match=791/index.html#nosticky,
11000,CMR,0,Cameroon,La Coru̱A,15 June 1982,Group matches - Group 1,PER,0,Peru,https://www.fifa.com/worldcup/matches/round=293/match=833/index.html#nosticky,
23000,SLV,1,El Salvador,Elche,15 June 1982,Group matches - Group 3,HUN,10,Hungary,https://www.fifa.com/worldcup/matches/round=293/match=896/index.html#nosticky,
36000,NZL,2,New Zealand,Malaga,15 June 1982,Group matches - Group 6,SCO,5,Scotland,https://www.fifa.com/worldcup/matches/round=293/match=1051/index.html#nosticky,
42000,ALG,2,Algeria,Gijon,16 June 1982,Group matches - Group 2,FRG,1,Germany FR,https://www.fifa.com/worldcup/matches/round=293/match=741/index.html#nosticky,
44172,FRA,1,France,Bilbao,16 June 1982,Group matches - Group 4,ENG,3,England,https://www.fifa.com/worldcup/matches/round=293/match=878/index.html#nosticky,
49562,HON,1,Honduras,Valencia,16 June 1982,Group matches - Group 5,ESP,1,Spain,https://www.fifa.com/worldcup/matches/round=293/match=901/index.html#nosticky,
22500,AUT,1,Austria,Oviedo,17 June 1982,Group matches - Group 2,CHI,0,Chile,https://www.fifa.com/worldcup/matches/round=293/match=764/index.html#nosticky,
25000,KUW,1,Kuwait,Valladolid,17 June 1982,Group matches - Group 4,TCH,1,Czechoslovakia,https://www.fifa.com/worldcup/matches/round=293/match=1012/index.html#nosticky,
25000,NIR,0,Northern Ireland,Zaragoza,17 June 1982,Group matches - Group 5,YUG,0,Yugoslavia,https://www.fifa.com/worldcup/matches/round=293/match=1044/index.html#nosticky,
25000,PER,1,Peru,Vigo,18 June 1982,Group matches - Group 1,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=293/match=994/index.html#nosticky,
32093,HUN,1,Hungary,Alicante,18 June 1982,Group matches - Group 3,ARG,4,Argentina,https://www.fifa.com/worldcup/matches/round=293/match=752/index.html#nosticky,
47379,SCO,1,Scotland,Seville,18 June 1982,Group matches - Group 6,BRA,4,Brazil,https://www.fifa.com/worldcup/matches/round=293/match=790/index.html#nosticky,
19000,CMR,0,Cameroon,La Coru̱A,19 June 1982,Group matches - Group 1,POL,0,Poland,https://www.fifa.com/worldcup/matches/round=293/match=834/index.html#nosticky,
15000,SLV,0,El Salvador,Elche,19 June 1982,Group matches - Group 3,BEL,1,Belgium,https://www.fifa.com/worldcup/matches/round=293/match=774/index.html#nosticky,
19000,NZL,0,New Zealand,Malaga,19 June 1982,Group matches - Group 6,URS,3,Soviet Union,https://www.fifa.com/worldcup/matches/round=293/match=1054/index.html#nosticky,
42000,CHI,1,Chile,Gijon,20 June 1982,Group matches - Group 2,FRG,4,Germany FR,https://www.fifa.com/worldcup/matches/round=293/match=813/index.html#nosticky,
41123,TCH,0,Czechoslovakia,Bilbao,20 June 1982,Group matches - Group 4,ENG,2,England,https://www.fifa.com/worldcup/matches/round=293/match=889/index.html#nosticky,
48000,YUG,1,Yugoslavia,Valencia,20 June 1982,Group matches - Group 5,ESP,2,Spain,https://www.fifa.com/worldcup/matches/round=293/match=903/index.html#nosticky,
22000,AUT,2,Austria,Oviedo,21 June 1982,Group matches - Group 2,ALG,0,Algeria,https://www.fifa.com/worldcup/matches/round=293/match=739/index.html#nosticky,
30043,KUW,1,Kuwait,Valladolid,21 June 1982,Group matches - Group 4,FRA,4,France,https://www.fifa.com/worldcup/matches/round=293/match=919/index.html#nosticky,
15000,NIR,1,Northern Ireland,Zaragoza,21 June 1982,Group matches - Group 5,HON,1,Honduras,https://www.fifa.com/worldcup/matches/round=293/match=959/index.html#nosticky,
25000,PER,1,Peru,La Coru̱A,22 June 1982,Group matches - Group 1,POL,5,Poland,https://www.fifa.com/worldcup/matches/round=293/match=1055/index.html#nosticky,
37000,HUN,1,Hungary,Elche,22 June 1982,Group matches - Group 3,BEL,1,Belgium,https://www.fifa.com/worldcup/matches/round=293/match=779/index.html#nosticky,
45000,SCO,2,Scotland,Malaga,22 June 1982,Group matches - Group 6,URS,2,Soviet Union,https://www.fifa.com/worldcup/matches/round=293/match=1071/index.html#nosticky,
20000,CMR,1,Cameroon,Vigo,23 June 1982,Group matches - Group 1,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=293/match=828/index.html#nosticky,
32500,SLV,0,El Salvador,Alicante,23 June 1982,Group matches - Group 3,ARG,2,Argentina,https://www.fifa.com/worldcup/matches/round=293/match=751/index.html#nosticky,
43000,NZL,0,New Zealand,Seville,23 June 1982,Group matches - Group 6,BRA,4,Brazil,https://www.fifa.com/worldcup/matches/round=293/match=789/index.html#nosticky,
16000,CHI,2,Chile,Oviedo,24 June 1982,Group matches - Group 2,ALG,3,Algeria,https://www.fifa.com/worldcup/matches/round=293/match=740/index.html#nosticky,
28000,TCH,1,Czechoslovakia,Valladolid,24 June 1982,Group matches - Group 4,FRA,1,France,https://www.fifa.com/worldcup/matches/round=293/match=922/index.html#nosticky,
25000,YUG,1,Yugoslavia,Zaragoza,24 June 1982,Group matches - Group 5,HON,0,Honduras,https://www.fifa.com/worldcup/matches/round=293/match=962/index.html#nosticky,
41000,AUT,0,Austria,Gijon,25 June 1982,Group matches - Group 2,FRG,1,Germany FR,https://www.fifa.com/worldcup/matches/round=293/match=770/index.html#nosticky,
39700,KUW,0,Kuwait,Bilbao,25 June 1982,Group matches - Group 4,ENG,1,England,https://www.fifa.com/worldcup/matches/round=293/match=882/index.html#nosticky,
49562,ESP,0,Spain,Valencia,25 June 1982,Group matches - Group 5,NIR,1,Northern Ireland,https://www.fifa.com/worldcup/matches/round=293/match=902/index.html#nosticky,
37000,FRA,1,France,Madrid,28 June 1982,Second round - Group 4,AUT,0,Austria,https://www.fifa.com/worldcup/matches/round=294/match=767/index.html#nosticky,
65000,BEL,0,Belgium,Barcelona,28 June 1982,Second round - Group 1,POL,3,Poland,https://www.fifa.com/worldcup/matches/round=294/match=782/index.html#nosticky,
43000,ARG,1,Argentina,Barcelona,29 June 1982,Second round - Group 3,ITA,2,Italy,https://www.fifa.com/worldcup/matches/round=294/match=753/index.html#nosticky,
75000,ENG,0,England,Madrid,29 June 1982,Second round - Group 2,FRG,0,Germany FR,https://www.fifa.com/worldcup/matches/round=294/match=879/index.html#nosticky,
20000,NIR,2,Northern Ireland,Madrid,01 July 1982,Second round - Group 4,AUT,2,Austria,https://www.fifa.com/worldcup/matches/round=294/match=771/index.html#nosticky,
45000,URS,1,Soviet Union,Barcelona,01 July 1982,Second round - Group 1,BEL,0,Belgium,https://www.fifa.com/worldcup/matches/round=294/match=783/index.html#nosticky,
44000,BRA,3,Brazil,Barcelona,02 July 1982,Second round - Group 3,ARG,1,Argentina,https://www.fifa.com/worldcup/matches/round=294/match=750/index.html#nosticky,
90089,ESP,1,Spain,Madrid,02 July 1982,Second round - Group 2,FRG,2,Germany FR,https://www.fifa.com/worldcup/matches/round=294/match=900/index.html#nosticky,
37000,NIR,1,Northern Ireland,Madrid,04 July 1982,Second round - Group 4,FRA,4,France,https://www.fifa.com/worldcup/matches/round=294/match=920/index.html#nosticky,
65000,URS,0,Soviet Union,Barcelona,04 July 1982,Second round - Group 1,POL,0,Poland,https://www.fifa.com/worldcup/matches/round=294/match=1058/index.html#nosticky,
44000,BRA,2,Brazil,Barcelona,05 July 1982,Second round - Group 3,ITA,3,Italy,https://www.fifa.com/worldcup/matches/round=294/match=788/index.html#nosticky,
75000,ENG,0,England,Madrid,05 July 1982,Second round - Group 2,ESP,0,Spain,https://www.fifa.com/worldcup/matches/round=294/match=877/index.html#nosticky,
50000,ITA,2,Italy,Barcelona,08 July 1982,Semi-finals,POL,0,Poland,https://www.fifa.com/worldcup/matches/round=295/match=996/index.html#nosticky,
70000,FRA,3( 4),France,Seville,08 July 1982,Semi-finals,FRG,3(5 ),Germany FR,https://www.fifa.com/worldcup/matches/round=295/match=914/index.html#nosticky,5 - 4
28000,FRA,2,France,Alicante,10 July 1982,Match for third place,POL,3,Poland,https://www.fifa.com/worldcup/matches/round=676/match=921/index.html#nosticky,
90000,FRG,1,Germany FR,Madrid,11 July 1982,Final,ITA,3,Italy,https://www.fifa.com/worldcup/matches/round=3475/match=923/index.html#nosticky,
