Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Argentina,ARG,15,4,7
Netherlands,NED,15,10,7
Germany FR,FRG,10,5,6
Brazil,BRA,10,3,7
Italy,ITA,9,6,7
Peru,PER,7,12,6
Austria,AUT,7,10,6
Poland,POL,6,6,6
Scotland,SCO,5,6,3
France,FRA,5,5,3
Hungary,HUN,3,8,3
Tunisia,TUN,3,2,3
Mexico,MEX,2,12,3
Iran,IRN,2,8,3
Spain,ESP,2,2,3
Sweden,SWE,1,3,3
