CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
COL,6,5,399,James RODRIGUEZ
GER,5,7,682,Thomas MUELLER
BRA,4,5,457,Neymar
ARG,4,7,693,Lionel MESSI
NED,4,6,548,Robin VAN PERSIE
FRA,3,5,450,Karim Benzema
GER,3,6,244,Andre SCHUERRLE
NED,3,7,690,Arjen ROBBEN
ECU,3,3,270,Enner Valencia
SUI,3,4,387,Xherdan SHAQIRI
GER,2,7,690,Toni KROOS
ALG,2,3,170,Abdelmoumene DJABOU
NED,2,4,173,Memphis Depay
CRO,2,3,258,Ivan PeriÅ¡ic
CIV,2,3,263,Gervinho
GHA,2,3,270,Asamoah Gyan
ALG,2,4,324,Islam SLIMANI
CHI,2,4,390,Alexis SANCHEZ
BRA,2,7,640,Oscar
BRA,2,7,660,DAVID LUIZ
AUS,2,2,159,Tim CAHILL
CIV,2,3,167,Wilfried BONY
URU,2,2,178,Luis SUAREZ
CRO,2,2,180,Mario MANDZUKIC
COL,2,3,194,Jackson MARTINEZ
GER,2,6,258,Mario GOETZE
GHA,2,3,261,AndrÃ© Ayew
GER,2,5,280,Miroslav KLOSE
NGA,2,4,335,Ahmed MUSA
USA,2,4,387,Clint Dempsey
CRC,2,5,494,Bryan RUIZ
GER,2,6,509,Mats HUMMELS
COL,1,5,387,Juan CUADRADO
CHI,1,4,311,Eduardo VARGAS
ALG,1,4,390,Sofiane FEGHOULI
BEL,1,4,390,Kevin DE BRUYNE
NED,1,7,670,Daley Blind
NED,1,3,52,Klaas Jan HUNTELAAR
KOR,1,3,104,LEE Keunho
FRA,1,5,165,Olivier Giroud
ALG,1,3,190,Yacine BRAHIMI
ENG,1,3,194,Wayne Rooney
POR,1,3,270,Cristiano Ronaldo
JPN,1,3,270,Keisuke HONDA
BIH,1,3,270,Miralem PJANIC
MEX,1,4,302,Oribe PERALTA
COL,1,4,304,Teofilo GUTIERREZ
FRA,1,4,335,Mathieu Valbuena
FRA,1,5,354,Paul Pogba
URU,1,4,360,Edinson CAVANI
MEX,1,4,360,Rafael MARQUEZ
CHI,1,4,364,Charles ARANGUIZ
GER,1,5,376,Sami KHEDIRA
GRE,1,4,390,Georgios SAMARAS
CRC,1,5,415,Joel CAMPBELL
BRA,1,6,570,Thiago Silva
ARG,1,7,571,Gonzalo HIGUAIN
NED,1,6,585,Wesley SNEIJDER
GER,1,7,655,Mesut OEZIL
USA,1,1,13,Julian GREEN
NED,1,1,15,Leroy FER
ESP,1,1,34,Juan Mata
USA,1,1,44,John Brooks
POR,1,2,50,VARELA
SUI,1,3,54,Blerim DZEMAILI
ESP,1,1,56,David Villa
CHI,1,2,66,Jean Beausejour
MEX,1,4,75,Javier HERNANDEZ
BIH,1,1,90,Avdija VRSAJEVIC
COL,1,3,93,Juan Quintero
CHI,1,3,93,Jorge VALDIVIA
RUS,1,3,101,Aleksandr Kerzhakov
CRC,1,4,102,Marcos URENA
GRE,1,2,136,Andreas SAMARIS
SUI,1,4,139,Haris SEFEROVIC
BIH,1,3,144,Vedad IBISEVIC
ESP,1,3,144,Fernando Torres
BEL,1,4,175,Romelu LUKAKU
CMR,1,2,180,Joel Matip
ESP,1,3,191,Xabi Alonso
ITA,1,3,209,Mario BALOTELLI
FRA,1,4,214,Moussa Sissoko
ITA,1,3,218,Claudio MARCHISIO
HON,1,3,220,Carlo COSTLY
CRO,1,3,228,Ivica Olic
BEL,1,5,245,Divock ORIGI
KOR,1,3,247,SON Heungmin
JPN,1,3,249,Shinji OKAZAKI
ENG,1,3,260,Daniel Sturridge
BIH,1,3,264,Edin DZEKO
BEL,1,5,269,Dries MERTENS
RUS,1,3,270,Aleksandr Kokorin
IRN,1,3,270,Reza Ghoochannejhad
KOR,1,3,270,KOO Jacheol
AUS,1,3,270,Mile JEDINAK
POR,1,3,270,Nani
NGA,1,4,281,Peter ODEMWINGIE
BRA,1,5,296,FERNANDINHO
MEX,1,4,297,Giovani DOS SANTOS
SUI,1,4,323,Granit XHAKA
MEX,1,4,333,Andres GUARDADO
CRC,1,4,336,Ãscar Duarte
SUI,1,4,337,Admir MEHMEDI
URU,1,4,360,Diego GODIN
ALG,1,4,367,Rafik HALLICHE
GRE,1,4,390,Sokratis PAPASTATHOPOULOS
USA,1,4,390,Jermaine JONES
BEL,1,5,415,Marouane FELLAINI
COL,1,5,416,Pablo ARMERO
ARG,1,5,423,Angel DI MARIA
FRA,1,5,427,Blaise Matuidi
BEL,1,5,449,Jan VERTONGHEN
BRA,1,6,471,FRED
NED,1,7,550,Georginio Wijnaldum
ARG,1,6,615,Marcos ROJO
NED,1,7,677,Stefan DE VRIJ
