Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Brazil,BRA,19,7,6
Germany FR,FRG,17,10,6
Italy,ITA,10,8,6
Peru,PER,9,9,4
Mexico,MEX,6,4,4
Soviet Union,URS,6,2,4
Bulgaria,BUL,5,9,3
Belgium,BEL,4,5,3
Romania,ROU,4,5,3
England,ENG,4,4,4
Uruguay,URU,4,5,6
Morocco,MAR,2,6,3
Sweden,SWE,2,2,3
Czechoslovakia,TCH,2,7,3
Israel,ISR,1,3,3
