CountryCode,MatchesPlayed,Player,RedCards,YellowCards
USA,4,Jay DeMERIT,0,1
POR,4,FABIO COENTRAO,0,1
KOR,4,LEE Chungyong,0,1
MEX,4,Guillermo FRANCO,0,1
KOR,4,YEOM Ki Hun,0,1
CHI,4,Arturo VIDAL,0,1
JPN,4,Keisuke HONDA,0,1
KOR,4,CHO Yong Hyung,0,1
USA,4,Jozy ALTIDORE,0,1
SVK,4,Jan DURICA,0,1
ENG,4,Steven GERRARD,0,1
MEX,4,Javier HERNANDEZ,0,1
SVK,4,Robert VITTEK,0,1
GHA,4,John MENSAH,0,1
MEX,4,Rafael MARQUEZ,0,1
MEX,4,Gerardo TORRADO,0,1
KOR,4,KIM Jung Woo,0,1
MEX,4,Francisco RODRIGUEZ,0,1
CHI,4,Jorge VALDIVIA,0,1
POR,4,CRISTIANO RONALDO,0,1
ARG,4,Gabriel HEINZE,0,1
SVK,4,Martin SKRTEL,0,1
JPN,4,Daisuke MATSUI,0,1
JPN,4,Yuki ABE,0,1
USA,4,Carlos BOCANEGRA,0,1
POR,4,PEDRO MENDES,0,1
PAR,5,Claudio MOREL,0,1
BRA,5,LUIS FABIANO,0,1
PAR,5,Roque SANTA CRUZ,0,1
GHA,5,John PANTSIL,0,1
BRA,5,JUAN,0,1
GHA,5,Hans SARPEI,0,1
NED,5,Rafael VAN DER VAART,0,1
PAR,5,Cristian RIVEROS,0,1
PAR,5,Enrique VERA,0,1
URU,5,Mauricio VICTORINO,0,1
GHA,5,Anthony ANNAN,0,1
BRA,5,MICHEL BASTOS,0,1
URU,6,Diego LUGANO,0,1
NED,6,Joris MATHIJSEN,0,1
ESP,6,Andres INIESTA,0,1
GER,6,Philipp LAHM,0,1
GER,7,Bastian SCHWEINSTEIGER,0,1
GER,7,Sami KHEDIRA,0,1
ESP,7,Xabi ALONSO,0,1
NED,7,Maarten STEKELENBURG,0,1
ESP,7,Joan CAPDEVILA,0,1
ESP,7,Carles PUYOL,0,1
ESP,7,Xavi HERNANDEZ,0,1
NED,7,Dirk KUYT,0,1
ESP,7,Sergio RAMOS,0,1
ESP,7,Gerard PIQUE,0,1
NED,7,Wesley SNEIJDER,0,1
GER,7,Mesut OEZIL,0,1
ESP,7,Sergio BUSQUETS,0,1
URU,7,Maximiliano PEREIRA,0,1
URU,7,Egidio AREVALO,0,1
