Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
54367,ITA,2,Italy,Boston,05 July 1994,Round of 16,NGA,1,Nigeria,https://www.fifa.com/worldcup/matches/round=338/match=3091/index.html#nosticky,
71030,BUL,1( 3),Bulgaria,New Yor,05 July 1994,Round of 16,MEX,1(1 ),Mexico,https://www.fifa.com/worldcup/matches/round=338/match=3092/index.html#nosticky,1 - 3
53400,ESP,1,Spain,Boston,09 July 1994,Quarter-finals,ITA,2,Italy,https://www.fifa.com/worldcup/matches/round=796/match=3097/index.html#nosticky,
63500,BRA,3,Brazil,Dallas,09 July 1994,Quarter-finals,NED,2,Netherlands,https://www.fifa.com/worldcup/matches/round=796/match=3098/index.html#nosticky,
72000,GER,1,Germany,New Yor,10 July 1994,Quarter-finals,BUL,2,Bulgaria,https://www.fifa.com/worldcup/matches/round=796/match=3096/index.html#nosticky,
83500,SWE,2( 5),Sweden,San Francisco,10 July 1994,Quarter-finals,ROU,2(4 ),Romania,https://www.fifa.com/worldcup/matches/round=796/match=3095/index.html#nosticky,4 - 5
74110,ITA,2,Italy,New Yor,13 July 1994,Semi-finals,BUL,1,Bulgaria,https://www.fifa.com/worldcup/matches/round=3461/match=3100/index.html#nosticky,
91856,BRA,1,Brazil,Los Angeles,13 July 1994,Semi-finals,SWE,0,Sweden,https://www.fifa.com/worldcup/matches/round=3461/match=3099/index.html#nosticky,
91500,BUL,0,Bulgaria,Los Angeles,16 July 1994,Match for third place,SWE,4,Sweden,https://www.fifa.com/worldcup/matches/round=3460/match=3103/index.html#nosticky,
94194,ITA,0( 2),Italy,Los Angeles,17 July 1994,Final,BRA,0(3 ),Brazil,https://www.fifa.com/worldcup/matches/round=3459/match=3104/index.html#nosticky,3 - 2
