Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Poland,POL,16,5,7
Netherlands,NED,15,3,7
Germany FR,FRG,13,4,7
Yugoslavia,YUG,12,7,6
Argentina,ARG,9,12,6
Sweden,SWE,7,6,6
Brazil,BRA,6,4,7
Italy,ITA,5,4,3
German DR,GDR,5,5,6
Scotland,SCO,3,1,3
Bulgaria,BUL,2,5,3
Haiti,HAI,2,14,3
Chile,CHI,1,2,3
Uruguay,URU,1,6,3
