CountryCode,MatchesPlayed,Player,RedCards,YellowCards
CHI,2,Carlos CASZELY,1,1
AUS,3,Ray RICHARDS,1,1
BRA,6,LUIS PEREIRA,1,1
URU,1,Julio MONTERO CASTILLO,1,0
ZAI,2,Ndaye MULAMBA,1,0
ARG,5,Carlos BABINGTON,0,3
HAI,3,Pierre BAYONNE,0,2
ARG,4,Roberto PERFUMO,0,2
YUG,5,Branko OBLAK,0,2
SWE,6,Ove GRAHN,0,2
YUG,6,Enver HADZIABDIC,0,2
YUG,6,Josip KATALINSKI,0,2
GDR,6,Gerd KISCHE,0,2
GDR,6,Juergen SPARWASSER,0,2
NED,7,Wim SUURBIER,0,2
NED,7,Wim VAN HANEGEM,0,2
NED,7,Johan CRUYFF,0,2
FRG,7,Berti VOGTS,0,2
NED,7,Johnny REP,0,2
NED,7,Johan NEESKENS,0,2
BRA,7,MARINHO PERES,0,2
POL,7,Henryk KASPERCZAK,0,2
BRA,7,JAIRZINHO,0,2
ITA,1,Roberto BONINSEGNA,0,1
HAI,1,Fritz LEANDRE,0,1
GDR,2,Erich HAMANN,0,1
SWE,2,Orjan PERSSON,0,1
CHI,3,Carlos REINOSO,0,1
SCO,3,Davie HAY,0,1
CHI,3,Leonardo VELIZ,0,1
GDR,3,Eberhard VOGEL,0,1
BUL,3,Tsonyo VASILEV,0,1
ITA,3,Romeo BENETTI,0,1
URU,3,Victor ESPARRAGO,0,1
GDR,3,Hans-Juergen KREISCHE,0,1
SCO,3,Joe JORDAN,0,1
SCO,3,James HOLTON,0,1
CHI,3,Rolando GARCIA,0,1
URU,3,Baudilio JAUREGUI,0,1
ZAI,3,Kidumu MANTANTU,0,1
AUS,3,Jimmy MACKAY,0,1
URU,3,Walter MANTEGAZZA,0,1
URU,3,Juan MASNIK,0,1
CHI,3,Guillermo PAEZ,0,1
ZAI,3,Muepu ILUNGA,0,1
ARG,3,Angel BARGAS,0,1
YUG,3,Dusan BAJEVIC,0,1
BUL,3,Georgi DENEV,0,1
URU,3,Pablo FORLAN,0,1
GDR,4,Joachim STREICH,0,1
SWE,4,Bjorn ANDERSSON,0,1
YUG,4,Stanislav KARASI,0,1
BRA,4,ZE MARIA,0,1
GDR,4,Siegmar WAETZLICH,0,1
BRA,4,DIRCEU,0,1
BRA,4,MIRANDINHA,0,1
SWE,5,Bjorn NORDQVIST,0,1
ARG,6,Rene HOUSEMAN,0,1
BRA,6,CARPEGIANI,0,1
ARG,6,Ramon HEREDIA,0,1
POL,6,Adam MUSIAL,0,1
YUG,6,Jovan ACIMOVIC,0,1
POL,6,Andrzej SZARMACH,0,1
GDR,6,Juergen CROY,0,1
YUG,6,Ivan BULJAN,0,1
BRA,7,MARINHO CHAGAS,0,1
POL,7,Jerzy GORGON,0,1
NED,7,Wim JANSEN,0,1
FRG,7,Wolfgang OVERATH,0,1
BRA,7,RIVELINO,0,1
