Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
39100,JAM,2,Jamaica,Lyon,26 June 1998,Group matches - Group H,JPN,1,Japan,https://www.fifa.com/worldcup/matches/round=1014/match=8771/index.html#nosticky,
31800,CRO,0,Croatia,Bordeaux,26 June 1998,Group matches - Group H,ARG,1,Argentina,https://www.fifa.com/worldcup/matches/round=1014/match=8772/index.html#nosticky,
77000,TUN,1,Tunisia,Saint-Denis,26 June 1998,Group matches - Group G,ROU,1,Romania,https://www.fifa.com/worldcup/matches/round=1014/match=8769/index.html#nosticky,
38100,ENG,2,England,Lens,26 June 1998,Group matches - Group G,COL,0,Colombia,https://www.fifa.com/worldcup/matches/round=1014/match=8770/index.html#nosticky,
55000,NOR,0,Norway,Marseilles,27 June 1998,Round of 16,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=1024/match=8774/index.html#nosticky,
45500,CHI,1,Chile,Paris,27 June 1998,Round of 16,BRA,4,Brazil,https://www.fifa.com/worldcup/matches/round=1024/match=8773/index.html#nosticky,
31800,PAR,0,Paraguay,Lens,28 June 1998,Round of 16,FRA,1,France,https://www.fifa.com/worldcup/matches/round=1024/match=8776/index.html#nosticky,
77000,DEN,4,Denmark,Saint-Denis,28 June 1998,Round of 16,NGA,1,Nigeria,https://www.fifa.com/worldcup/matches/round=1024/match=8775/index.html#nosticky,
29800,MEX,1,Mexico,Montpellier,29 June 1998,Round of 16,GER,2,Germany,https://www.fifa.com/worldcup/matches/round=1024/match=8777/index.html#nosticky,
33500,YUG,1,Yugoslavia,Toulouse,29 June 1998,Round of 16,NED,2,Netherlands,https://www.fifa.com/worldcup/matches/round=1024/match=8778/index.html#nosticky,
31800,CRO,1,Croatia,Bordeaux,30 June 1998,Round of 16,ROU,0,Romania,https://www.fifa.com/worldcup/matches/round=1024/match=8780/index.html#nosticky,
30600,ENG,2( 3),England,Saint-Etienne,30 June 1998,Round of 16,ARG,2(4 ),Argentina,https://www.fifa.com/worldcup/matches/round=1024/match=8779/index.html#nosticky,4 - 3
77000,FRA,0( 4),France,Saint-Denis,03 July 1998,Quarter-finals,ITA,0(3 ),Italy,https://www.fifa.com/worldcup/matches/round=1025/match=8781/index.html#nosticky,3 - 4
35500,DEN,2,Denmark,Nantes,03 July 1998,Quarter-finals,BRA,3,Brazil,https://www.fifa.com/worldcup/matches/round=1025/match=8782/index.html#nosticky,
55000,ARG,1,Argentina,Marseilles,04 July 1998,Quarter-finals,NED,2,Netherlands,https://www.fifa.com/worldcup/matches/round=1025/match=8784/index.html#nosticky,
39100,CRO,3,Croatia,Lyon,04 July 1998,Quarter-finals,GER,0,Germany,https://www.fifa.com/worldcup/matches/round=1025/match=8783/index.html#nosticky,
54000,NED,1( 2),Netherlands,Marseilles,07 July 1998,Semi-finals,BRA,1(4 ),Brazil,https://www.fifa.com/worldcup/matches/round=1026/match=8785/index.html#nosticky,4 - 2
76000,CRO,1,Croatia,Saint-Denis,08 July 1998,Semi-finals,FRA,2,France,https://www.fifa.com/worldcup/matches/round=1026/match=8786/index.html#nosticky,
45500,CRO,2,Croatia,Paris,11 July 1998,Match for third place,NED,1,Netherlands,https://www.fifa.com/worldcup/matches/round=1028/match=8787/index.html#nosticky,
80000,FRA,3,France,Saint-Denis,12 July 1998,Final,BRA,0,Brazil,https://www.fifa.com/worldcup/matches/round=1027/match=8788/index.html#nosticky,
