CountryCode,MatchesPlayed,Player,RedCards,YellowCards
ENG,2,Ray WILKINS,1,1
CAN,2,Mike SWEENEY,1,1
DEN,3,Frank ARNESEN,1,1
URU,3,Miguel BOSSIO,1,1
MEX,5,Javier AGUIRRE,1,1
URU,3,Jose BATISTA,1,0
MEX,4,Hugo SÃNCHEZ,0,3
ENG,4,Terry FENWICK,0,3
FRG,6,Thomas BERTHOLD,1,0
KOR,2,CHO Young Jeung,0,2
IRQ,2,Bassel GORGIS,0,0
IRQ,2,SHAKER SAMIR,0,2
PAR,3,Vladimiro SCHETTINA,0,2
URU,3,Jorge DA SILVA,0,2
URU,3,Victor DIOGO,0,2
KOR,3,KIM Joo Sung,0,2
ITA,3,Giuseppe BERGOMI,0,2
ESP,4,GOIKO,0,2
ARG,4,Oscar GARRE,0,2
POL,4,Dariusz DZIEKANOWSKI,0,2
FRA,4,William AYACHE,0,2
MAR,4,Labid KHALIFA,0,2
FRA,6,Luis FERNANDEZ,0,2
FRG,7,Lothar MATTHAEUS,0,2
ARG,7,Nery PUMPIDO,0,2
ENG,1,Alvin MARTIN,0,1
SCO,1,Steve ARCHIBALD,0,1
SCO,2,Eamonn BANNON,0,1
IRQ,2,MOHAMED HARIS,0,1
URU,2,Wilmar CABRERA,0,1
BUL,2,Aleksandar MARKOV,0,1
IRQ,2,SADDAM KARIM,0,1
SCO,2,David NAREY,0,1
IRQ,2,HAMMOUDI RAAD,0,1
MEX,2,Mario TREJO,0,1
NIR,2,Nigel WORTHINGTON,0,1
SCO,2,Maurice MALPAS,0,1
KOR,3,PARK Kyung Hoon,0,1
DEN,3,Ivan NIELSEN,0,1
POR,3,GOMES,0,1
POR,3,PACHECO,0,1
MEX,3,Carlos DE LOS COBOS,0,1
IRQ,3,SHAKER NADHUM,0,1
URU,3,Mario SARALEGUI,0,1
SCO,3,Stephen NICOL,0,1
KOR,3,PARK Chang Sun,0,1
NIR,3,Sam McILROY,0,1
CAN,3,Bob LENARDUZZI,0,1
ALG,3,Faouzi MANSOURI,0,1
ALG,3,Rabah MADJER,0,1
ESP,3,JULIO ALBERTO,0,1
NIR,3,Mal DONAGHY,0,1
ENG,3,Mark HATELEY,0,1
NIR,3,Billy HAMILTON,0,1
BUL,3,Zhivko GOSPODINOV,0,1
KOR,3,HUH Jungmoo,0,1
DEN,3,Klaus BERGGREEN,0,1
NIR,3,Norman WHITESIDE,0,1
IRQ,3,KHALIL MOHAMED,0,1
DEN,3,Henrik ANDERSEN,0,1
BUL,3,Nikolai ARABOV,0,1
IRQ,3,HASHEM NATIK,0,1
URS,3,Vasili RATS,0,1
FRA,4,Dominique ROCHETEAU,0,1
ITA,4,Gaetano SCIREA,0,1
POL,4,Wlodimierz SMOLAREK,0,1
BEL,4,Franky VAN DER ELST,0,1
ITA,4,Pietro VIERCHOWOD,0,1
URU,4,Eduardo ACEVEDO,0,1
ITA,4,Salvatore BAGNI,0,1
ITA,4,Antonio DI GENNARO,0,1
MAR,4,Abdelrazzak KHAIRI,0,1
MAR,4,Abdelmajid LAMRISS,0,1
MEX,4,Carlos MUNOZ,0,1
PAR,4,Jorge NUNEZ,0,1
URU,4,Sergio SANTIN,0,1
PAR,4,Julio Cesar ROMERO,0,1
MAR,4,Mohamed TIMOUMI,0,1
POL,4,Roman WOJCICKI,0,1
ESP,4,Ramon Maria CALDERE,0,1
POL,4,Zbigniew BONIEK,0,1
ITA,4,Antonio CABRINI,0,1
URS,4,Igor BELANOV,0,1
PAR,4,Alfredo MENDOZA,0,1
URU,4,Fernando ALVEZ,0,1
ITA,4,Fernando DE NAPOLI,0,1
URU,4,Enzo FRANCESCOLI,0,1
BRA,5,EDINHO,0,1
ARG,5,Hector ENRIQUE,0,1
ENG,5,Steve HODGE,0,1
MEX,5,Manuel NEGRETE,0,1
ENG,5,Terry BUTCHER,0,1
ESP,5,MICHEL,0,1
ESP,5,VICTOR,0,1
ESP,5,Jose Antonio CAMACHO,0,1
BEL,5,Daniel VEYT,0,1
BRA,5,BRANCO,0,1
ESP,5,TOMAS,0,1
BEL,5,Michel RENQUIN,0,1
MEX,5,Raul SERVIN,0,1
BRA,5,CARECA,0,1
MEX,5,Fernando QUIRARTE,0,1
FRG,6,Ditmar JAKOBS,0,1
BEL,6,Georges GRUN,0,1
FRG,6,Hans Peter BRIEGEL,0,1
FRG,6,Felix MAGATH,0,1
ARG,6,Jose CUCIUFFO,0,1
ARG,7,Ricardo GIUSTI,0,1
ARG,7,Julio OLARTICOECHEA,0,1
BEL,7,Jean Marie PFAFF,0,1
ARG,7,Diego MARADONA,0,1
ARG,7,Jose BROWN,0,1
FRG,7,Klaus ALLOFS,0,1
ARG,7,Sergio BATISTA,0,1
FRG,7,Norbert EDER,0,1
FRA,7,Manuel AMOROS,0,1
ARG,7,Jorge VALDANO,0,1
BEL,7,Nico CLAESEN,0,1
BEL,7,Jan CEULEMANS,0,1
BEL,7,Stephane DEMOL,0,1
FRG,7,Karl Heinz FOERSTER,0,1
