CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
ENG,6,5,446,Gary LINEKER
ESP,5,5,435,Emilio BUTRAGUENO
BRA,5,5,480,CARECA
ARG,5,7,630,Diego MARADONA
URS,4,4,312,Igor BELANOV
ITA,4,4,360,Alessandro ALTOBELLI
DEN,4,4,360,Preben ELKJAER LARSEN
ARG,4,7,630,Jorge VALDANO
DEN,3,4,231,Jesper OLSEN
FRG,3,6,421,Rudi VOELLER
BEL,3,7,660,Nico CLAESEN
BEL,3,7,720,Jan CEULEMANS
MAR,2,4,272,Abdelrazzak KHAIRI
BRA,2,3,300,JOSIMAR
ESP,2,4,336,Ramon Maria CALDERE
FRA,2,4,347,Jean-Pierre PAPIN
PAR,2,4,360,Julio Cesar ROMERO
PAR,2,4,360,Roberto CABANAS
BRA,2,5,437,SOCRATES
MEX,2,5,480,Fernando QUIRARTE
FRA,2,6,481,Yannick STOPYRA
FRA,2,6,565,Michel PLATINI
ARG,2,7,610,Jorge BURRUCHAGA
FRG,2,7,615,Klaus ALLOFS
BEL,2,7,641,Enzo SCIFO
KOR,1,2,65,KIM Jong Boo
BEL,1,1,66,Erwin VANDENBERGH
DEN,1,2,75,John ERIKSEN
URS,1,2,94,Oleg BLOKHIN
FRA,1,1,120,Bernard GENGHINI
ESP,1,4,122,Juan Antonio SENOR
ALG,1,3,139,Djamel ZIDANE
URU,1,3,143,Antonio ALZAMENDI
ESP,1,3,147,ELOY
ARG,1,2,164,Pedro PASCULLI
FRA,1,4,180,Jean-Marc FERRERI
KOR,1,2,180,CHOI Soon Ho
URS,1,4,181,Sergei RODIONOV
NIR,1,3,189,Colin CLARKE
POR,1,3,193,DIAMANTINO
URS,1,3,219,Pavel YAKOVENKO
NIR,1,3,238,Norman WHITESIDE
MEX,1,3,246,Luis FLORES
URS,1,4,248,Aleksandr ZAVAROV
ENG,1,4,255,Peter BEARDSLEY
POR,1,3,270,CARLOS MANUEL
IRQ,1,3,270,Ahmed RADHI
HUN,1,3,270,Lajos DETARI
HUN,1,3,270,Marton ESTERHAZY
SCO,1,3,270,Gordon STRACHAN
KOR,1,3,270,HUH Jungmoo
KOR,1,3,270,PARK Chang Sun
BUL,1,4,282,Nasko SIRAKOV
FRA,1,4,288,Dominique ROCHETEAU
BUL,1,4,297,Plamen GETOV
URS,1,3,300,Vasili RATS
URS,1,3,300,Ivan YAREMCHUK
POL,1,4,344,Wlodimierz SMOLAREK
FRG,1,7,348,Karl-Heinz RUMMENIGGE
DEN,1,4,351,Michael LAUDRUP
URU,1,4,354,Enzo FRANCESCOLI
ESP,1,4,360,GOIKO
MAR,1,4,360,Abdelkarim KRIMAU
DEN,1,4,360,Soren LERBY
ESP,1,5,366,JULIO SALINAS
URS,1,4,390,Serguei ALEINIKOV
MEX,1,4,390,Hugo SÃNCHEZ
FRG,1,5,435,Andreas BREHME
BRA,1,5,480,EDINHO
MEX,1,5,480,Manuel NEGRETE
MEX,1,5,480,Raul SERVIN
BEL,1,5,502,Daniel VEYT
FRA,1,6,553,Luis FERNANDEZ
BEL,1,6,585,Frank VERCAUTEREN
ARG,1,7,630,Oscar RUGGERI
ARG,1,7,630,Jose BROWN
BEL,1,7,633,Stephane DEMOL
FRG,1,7,640,Lothar MATTHAEUS
FRA,1,7,653,Jean TIGANA
FRA,1,7,690,Manuel AMOROS
