Age,Country,CountryCode,Player,Position
9 January 1985  ,Algeria,ALG,Cedric SI MOHAMMED,Goalkeeper
7 October 1982  ,Algeria,ALG,Madjid BOUGUERRA,Defender
1 February 1991  ,Algeria,ALG,Faouzi GHOULAM,Defender
1 January 1989  ,Algeria,ALG,Esseid BELKALEM,Defender
2 September 1986  ,Algeria,ALG,Rafik HALLICHE,Defender
9 October 1984  ,Algeria,ALG,Djamel MESBAH,Defender
14 May 1984  ,Algeria,ALG,Hassan YEBDA,Midfielder
15 March 1984  ,Algeria,ALG,Medhi LACEN,Midfielder
20 April 1990  ,Algeria,ALG,Nabil GHILAS,Forward
26 December 1989  ,Algeria,ALG,Sofiane FEGHOULI,Forward
8 February 1990  ,Algeria,ALG,Yacine BRAHIMI,Midfielder
15 May 1985  ,Algeria,ALG,Carl MEDJANI,Defender
18 June 1988  ,Algeria,ALG,Islam SLIMANI,Forward
24 November 1994  ,Algeria,ALG,Nabil BENTALEB,Midfielder
25 November 1987  ,Algeria,ALG,El Arabi SOUDANI,Forward
19 March 1985  ,Algeria,ALG,Mohamed ZEMMAMOUCHE,Goalkeeper
5 March 1988  ,Algeria,ALG,Liassine CADAMURO,Defender
31 January 1987  ,Algeria,ALG,Abdelmoumene DJABOU,Forward
29 February 1992  ,Algeria,ALG,Saphir TAIDER,Midfielder
22 October 1991  ,Algeria,ALG,AÃ¯ssa Mandi,Defender
21 February 1991  ,Algeria,ALG,Riyad MAHREZ,Forward
30 August 1983  ,Algeria,ALG,Mehdi MOSTEFA,Midfielder
25 April 1986  ,Algeria,ALG,Rais MBOLHI,Goalkeeper
15 May 1952  ,Algeria,ALG,HALILHODZIC Vahid,Coach
22 February 1987  ,Argentina,ARG,Sergio ROMERO,Goalkeeper
10 October 1986  ,Argentina,ARG,Ezequiel GARAY,Defender
27 June 1980  ,Argentina,ARG,Hugo CAMPAGNARO,Defender
16 January 1985  ,Argentina,ARG,Pablo ZABALETA,Defender
10 April 1986  ,Argentina,ARG,Fernando GAGO,Midfielder
30 January 1986  ,Argentina,ARG,Lucas BIGLIA,Midfielder
14 February 1988  ,Argentina,ARG,Angel DI MARIA,Midfielder
22 February 1986  ,Argentina,ARG,Enzo PEREZ,Midfielder
10 December 1987  ,Argentina,ARG,Gonzalo HIGUAIN,Forward
24 June 1987  ,Argentina,ARG,Lionel MESSI,Forward
2 January 1981  ,Argentina,ARG,Maxi RODRIGUEZ,Midfielder
26 June 1981  ,Argentina,ARG,AgustÃ­n ORIÃN,Goalkeeper
10 April 1986  ,Argentina,ARG,Augusto FernÃ¡ndez,Midfielder
8 June 1984  ,Argentina,ARG,Javier MASCHERANO,Midfielder
20 December 1980  ,Argentina,ARG,Martin DEMICHELIS,Defender
20 March 1990  ,Argentina,ARG,Marcos ROJO,Defender
21 February 1989  ,Argentina,ARG,Federico FERNANDEZ,Defender
5 February 1982  ,Argentina,ARG,Rodrigo PALACIO,Forward
12 April 1988  ,Argentina,ARG,Ricky Ãlvarez,Midfielder
2 June 1988  ,Argentina,ARG,Sergio AGUERO,Forward
30 July 1983  ,Argentina,ARG,Mariano ANDUJAR,Goalkeeper
3 May 1985  ,Argentina,ARG,Ezequiel LAVEZZI,Forward
3 April 1984  ,Argentina,ARG,JosÃ© Basanta,Defender
5 November 1954  ,Argentina,ARG,SABELLA Alejandro,Coach
8 April 1992  ,Australia,AUS,Maty RYAN,Goalkeeper
10 September 1987  ,Australia,AUS,Ivan FRANJIC,Defender
29 June 1991  ,Australia,AUS,Jason DAVIDSON,Defender
6 December 1979  ,Australia,AUS,Tim CAHILL,Forward
4 August 1985  ,Australia,AUS,Mark MILLIGAN,Midfielder
27 June 1988  ,Australia,AUS,Matthew SPIRANOVIC,Defender
4 February 1991  ,Australia,AUS,Mathew LECKIE,Forward
28 July 1992  ,Australia,AUS,Bailey WRIGHT,Defender
2 June 1993  ,Australia,AUS,Adam TAGGART,Forward
