Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Argentina,ARG,18,9,5
Uruguay,URU,15,3,4
Yugoslavia,YUG,7,7,3
USA,USA,7,6,3
Brazil,BRA,5,2,2
Chile,CHI,5,3,3
Mexico,MEX,4,13,3
France,FRA,4,3,3
Romania,ROU,3,5,2
Paraguay,PAR,1,3,2
Peru,PER,1,4,2
