Country,CountryCode,MatchesPlayed,RedCards,YellowCards
Peru,PER,2,1,0
Belgium,BEL,2,0,0
Bolivia,BOL,2,0,0
Brazil,BRA,2,0,0
Romania,ROU,2,0,0
Paraguay,PAR,2,0,0
Yugoslavia,YUG,3,0,0
Chile,CHI,3,0,0
Mexico,MEX,3,0,0
USA,USA,3,0,0
France,FRA,3,0,0
Uruguay,URU,4,0,0
Argentina,ARG,5,0,0
