Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Sweden,SWE,15,8,7
Brazil,BRA,11,3,7
Romania,ROU,10,9,5
Spain,ESP,10,6,5
Bulgaria,BUL,10,11,7
Germany,GER,9,7,5
Argentina,ARG,8,6,4
Netherlands,NED,8,6,5
Italy,ITA,8,5,7
Russia,RUS,7,6,3
Nigeria,NGA,7,4,4
Saudi Arabia,KSA,5,6,4
Switzerland,SUI,5,7,4
Colombia,COL,4,5,3
Korea Republic,KOR,4,5,3
Belgium,BEL,4,4,4
Mexico,MEX,4,4,4
Cameroon,CMR,3,11,3
USA,USA,3,4,4
Morocco,MAR,2,5,3
Republic of Ireland,IRL,2,4,4
Norway,NOR,1,1,3
Bolivia,BOL,1,4,3
