Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
52918,CRO,1,Croatia,Sao Paulo  (BRA),12 Jun 2014,First stage - Group A,BRA,3,Brazil,https://www.fifa.com/worldcup/matches/round=255931/match=300186456/index.html#nosticky,
52918,CMR,0,Cameroon,Natal  (BRA),13 Jun 2014,First stage - Group A,MEX,1,Mexico,https://www.fifa.com/worldcup/matches/round=255931/match=300186492/index.html#nosticky,
52918,NED,5,Netherlands,Salvador (BRA),13 Jun 2014,First stage - Group B,ESP,1,Spain,https://www.fifa.com/worldcup/matches/round=255931/match=300186510/index.html#nosticky,
52918,AUS,1,Australia,Cuiaba  (BRA),13 Jun 2014,First stage - Group B,CHI,3,Chile,https://www.fifa.com/worldcup/matches/round=255931/match=300186473/index.html#nosticky,
52918,GRE,0,Greece,Belo Horizonte  (BRA),14 Jun 2014,First stage - Group C,COL,3,Colombia,https://www.fifa.com/worldcup/matches/round=255931/match=300186471/index.html#nosticky,
52918,CRC,3,Costa Rica,Fortaleza  (BRA),14 Jun 2014,First stage - Group D,URU,1,Uruguay,https://www.fifa.com/worldcup/matches/round=255931/match=300186489/index.html#nosticky,
52918,ITA,2,Italy,Manaus  (BRA),14 Jun 2014,First stage - Group D,ENG,1,England,https://www.fifa.com/worldcup/matches/round=255931/match=300186513/index.html#nosticky,
52918,JPN,1,Japan,Recife  (BRA),14 Jun 2014,First stage - Group C,CIV,2,Ivory Coast,https://www.fifa.com/worldcup/matches/round=255931/match=300186507/index.html#nosticky,
52918,ECU,1,Ecuador,Brasilia  (BRA),15 Jun 2014,First stage - Group E,SUI,2,Switzerland,https://www.fifa.com/worldcup/matches/round=255931/match=300186494/index.html#nosticky,
52918,HON,0,Honduras,Porto Alegre  (BRA),15 Jun 2014,First stage - Group E,FRA,3,France,https://www.fifa.com/worldcup/matches/round=255931/match=300186496/index.html#nosticky,
52918,BIH,1,Bosnia and Herzegovina,Rio De Janeiro  (BRA),15 Jun 2014,First stage - Group F,ARG,2,Argentina,https://www.fifa.com/worldcup/matches/round=255931/match=300186477/index.html#nosticky,
52918,POR,0,Portugal,Salvador (BRA),16 Jun 2014,First stage - Group G,GER,4,Germany,https://www.fifa.com/worldcup/matches/round=255931/match=300186475/index.html#nosticky,
52918,NGA,0,Nigeria,Curitiba  (BRA),16 Jun 2014,First stage - Group F,IRN,0,Iran,https://www.fifa.com/worldcup/matches/round=255931/match=300186505/index.html#nosticky,
52918,USA,2,USA,Natal  (BRA),16 Jun 2014,First stage - Group G,GHA,1,Ghana,https://www.fifa.com/worldcup/matches/round=255931/match=300186512/index.html#nosticky,
52918,ALG,1,Algeria,Belo Horizonte  (BRA),17 Jun 2014,First stage - Group H,BEL,2,Belgium,https://www.fifa.com/worldcup/matches/round=255931/match=300186479/index.html#nosticky,
52918,MEX,0,Mexico,Fortaleza  (BRA),17 Jun 2014,First stage - Group A,BRA,0,Brazil,https://www.fifa.com/worldcup/matches/round=255931/match=300186509/index.html#nosticky,
52918,KOR,1,Korea Republic,Cuiaba  (BRA),17 Jun 2014,First stage - Group H,RUS,1,Russia,https://www.fifa.com/worldcup/matches/round=255931/match=300186499/index.html#nosticky,
52918,NED,3,Netherlands,Porto Alegre  (BRA),18 Jun 2014,First stage - Group B,AUS,2,Australia,https://www.fifa.com/worldcup/matches/round=255931/match=300186478/index.html#nosticky,
52918,CHI,2,Chile,Rio De Janeiro  (BRA),18 Jun 2014,First stage - Group B,ESP,0,Spain,https://www.fifa.com/worldcup/matches/round=255931/match=300186498/index.html#nosticky,
52918,CRO,4,Croatia,Manaus  (BRA),18 Jun 2014,First stage - Group A,CMR,0,Cameroon,https://www.fifa.com/worldcup/matches/round=255931/match=300186453/index.html#nosticky,
52918,CIV,1,Ivory Coast,Brasilia  (BRA),19 Jun 2014,First stage - Group C,COL,2,Colombia,https://www.fifa.com/worldcup/matches/round=255931/match=300186468/index.html#nosticky,
