Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
26482,USA,1,USA,Daejeon,14 June 2002,Group matches - Group D,POL,3,Poland,https://www.fifa.com/worldcup/matches/round=43950100/match=43950048/index.html#nosticky,
46640,RUS,2,Russia,Shizuoka,14 June 2002,Group matches - Group H,BEL,3,Belgium,https://www.fifa.com/worldcup/matches/round=43950100/match=43950046/index.html#nosticky,
40582,ENG,3,England,Niigata,15 June 2002,Round of 16,DEN,0,Denmark,https://www.fifa.com/worldcup/matches/round=43950200/match=43950050/index.html#nosticky,
25176,PAR,0,Paraguay,Jeju,15 June 2002,Round of 16,GER,1,Germany,https://www.fifa.com/worldcup/matches/round=43950200/match=43950049/index.html#nosticky,
38926,IRL,1( 2),Republic of Ireland,Suwon,16 June 2002,Round of 16,ESP,1(3 ),Spain,https://www.fifa.com/worldcup/matches/round=43950200/match=43950052/index.html#nosticky,3 - 2
39747,SEN,2,Senegal,Oita,16 June 2002,Round of 16,SWE,1,Sweden,https://www.fifa.com/worldcup/matches/round=43950200/match=43950051/index.html#nosticky,
40440,BEL,0,Belgium,Kobe,17 June 2002,Round of 16,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=43950200/match=43950054/index.html#nosticky,
36380,USA,2,USA,Jeonju,17 June 2002,Round of 16,MEX,0,Mexico,https://www.fifa.com/worldcup/matches/round=43950200/match=43950053/index.html#nosticky,
45666,TUR,1,Turkey,Rifu,18 June 2002,Round of 16,JPN,0,Japan,https://www.fifa.com/worldcup/matches/round=43950200/match=43950055/index.html#nosticky,
38588,ITA,1,Italy,Daejeon,18 June 2002,Round of 16,KOR,2,Korea Republic,https://www.fifa.com/worldcup/matches/round=43950200/match=43950056/index.html#nosticky,
47436,BRA,2,Brazil,Shizuoka,21 June 2002,Quarter-finals,ENG,1,England,https://www.fifa.com/worldcup/matches/round=43950300/match=43950057/index.html#nosticky,
37337,USA,0,USA,Ulsan,21 June 2002,Quarter-finals,GER,1,Germany,https://www.fifa.com/worldcup/matches/round=43950300/match=43950058/index.html#nosticky,
44233,TUR,1,Turkey,Osaka,22 June 2002,Quarter-finals,SEN,0,Senegal,https://www.fifa.com/worldcup/matches/round=43950300/match=43950060/index.html#nosticky,
42114,KOR,0( 5),Korea Republic,Gwangju,22 June 2002,Quarter-finals,ESP,0(3 ),Spain,https://www.fifa.com/worldcup/matches/round=43950300/match=43950059/index.html#nosticky,3 - 5
65256,KOR,0,Korea Republic,Seoul,25 June 2002,Semi-finals,GER,1,Germany,https://www.fifa.com/worldcup/matches/round=43950400/match=43950061/index.html#nosticky,
61058,TUR,0,Turkey,Saitama,26 June 2002,Semi-finals,BRA,1,Brazil,https://www.fifa.com/worldcup/matches/round=43950400/match=43950062/index.html#nosticky,
63483,TUR,3,Turkey,Daegu,29 June 2002,Third place,KOR,2,Korea Republic,https://www.fifa.com/worldcup/matches/round=43950500/match=43950063/index.html#nosticky,
69029,BRA,2,Brazil,Yokohama,30 June 2002,Final,GER,0,Germany,https://www.fifa.com/worldcup/matches/round=43950600/match=43950064/index.html#nosticky,
