CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
CRO,6,7,630,Davor SUKER
ARG,5,5,428,Gabriel BATISTUTA
ITA,5,5,431,Christian VIERI
MEX,4,4,360,Luis HERNANDEZ
CHI,4,4,360,Marcelo SALAS
BRA,4,7,660,RONALDO
FRA,3,6,367,Thierry HENRY
GER,3,5,450,Juergen KLINSMANN
GER,3,5,450,Oliver BIERHOFF
BRA,3,7,523,BEBETO
BRA,3,6,531,CESAR SAMPAIO
NED,3,7,538,Dennis BERGKAMP
BRA,3,7,654,RIVALDO
MEX,2,3,84,Ricardo PELAEZ
ESP,2,2,128,Fernando MORIENTES
RSA,2,3,168,Shaun BARTLETT
ITA,2,4,226,Roberto BAGGIO
ENG,2,4,233,Michael OWEN
JAM,2,3,253,Theodore WHITMORE
MAR,2,3,264,Abdeljalil HADDA
MAR,2,3,270,Salaheddine BASSIR
YUG,2,3,270,Slobodan KOMLJENOVIC
ESP,2,3,270,Fernando HIERRO
BEL,2,3,270,Marc WILMOTS
ROU,2,4,288,Viorel MOLDOVAN
CRO,2,5,304,Robert PROSINECKI
NED,2,4,382,Patrick KLUIVERT
ENG,2,4,390,Alan SHEARER
DEN,2,5,416,Brian LAUDRUP
ARG,2,5,439,Ariel ORTEGA
FRA,2,5,461,Zinedine ZIDANE
FRA,2,6,506,Emmanuel PETIT
NED,2,6,528,Ronald DE BOER
FRA,2,6,600,Lilian THURAM
NED,2,7,616,Phillip COCU
NGA,1,1,68,Wilson ORUMA
COL,1,3,85,Leider PRECIADO
KSA,1,2,87,Youssef AL TUNAYAN
NED,1,3,90,Pierre VAN HOOIJDONK
JAM,1,3,108,Robert EARLE
AUT,1,3,115,Ivica VASTIC
FRA,1,3,118,Christophe DUGARRY
NGA,1,4,120,Tijani BABANGIDA
KOR,1,2,120,HA Seok Ju
ARG,1,3,122,Mauricio PINEDA
DEN,1,2,124,Peter MOLLER
AUT,1,3,137,Andreas HERZOG
ESP,1,3,140,KIKO
CHI,1,4,158,Jose SIERRA
GER,1,3,179,Andreas MOELLER
USA,1,2,180,Brian McBRIDE
ENG,1,3,195,David BECKHAM
ESP,1,3,195,RAUL
NED,1,4,196,Boudewijn ZENDEN
BUL,1,3,202,Emil KOSTADINOV
JPN,1,3,216,Masashi NAKAYAMA
TUN,1,3,224,Skander SOUAYEH
RSA,1,3,224,Benni McCARTHY
SCO,1,3,233,Craig BURLEY
DEN,1,5,240,Ebbe SAND
AUT,1,3,242,Toni POLSTER
CMR,1,3,246,Patrick MBOMA
NGA,1,3,248,Victor IKPEBA
ESP,1,3,249,LUIS ENRIQUE
BEL,1,3,257,Luc NILIS
KSA,1,3,264,Sami AL JABER
NGA,1,3,270,Mutiu ADEPOJU
IRN,1,3,270,Hamid ESTILI
MAR,1,3,270,Mustafa EL HADJI
IRN,1,3,270,Mehdi MAHDAVIKIA
SCO,1,3,270,John COLLINS
CMR,1,3,270,Pierre NJANKA
KOR,1,3,270,YOO Sang Chul
NOR,1,4,273,Havard FLO
PAR,1,3,280,Jose CARDOZO
YUG,1,4,298,Dragan STOJKOVIC
YUG,1,4,300,Predrag MIJATOVIC
MEX,1,4,313,Alberto GARCIA ASPE
NGA,1,4,315,Sunday OLISEH
ROU,1,4,315,Adrian ILIE
ENG,1,4,331,Paul SCHOLES
ARG,1,5,332,Claudio LOPEZ
DEN,1,5,340,Allan NIELSEN
ROU,1,4,345,Dan PETRESCU
FRA,1,6,348,David TREZEGUET
YUG,1,4,348,Sinisa MIHAJLOVIC
ENG,1,4,356,Darren ANDERTON
NOR,1,4,360,Tore Andre FLO
MEX,1,4,360,Cuauhtemoc BLANCO
NOR,1,4,360,Kjetil REKDAL
NOR,1,4,360,Dan EGGEN
CRO,1,7,365,Goran VLAOVIC
PAR,1,4,367,Miguel BENITEZ
PAR,1,4,390,Celso AYALA
DEN,1,5,397,Martin JORGENSEN
DEN,1,5,410,Michael LAUDRUP
ITA,1,5,423,Luigi DI BIAGIO
NED,1,6,430,Marc OVERMARS
DEN,1,5,447,Thomas HELVEG
DEN,1,5,450,Marc RIEPER
ARG,1,5,457,Javier ZANETTI
FRA,1,5,496,Laurent BLANC
NED,1,6,570,Edgar DAVIDS
FRA,1,7,597,Youri DJORKAEFF
FRA,1,6,600,Bixente LIZARAZU
CRO,1,7,619,Mario STANIC
CRO,1,7,630,Robert JARNI
