Age,Country,CountryCode,Player,Position
25 June 1909  ,Belgium,BEL,Arnold BADJOU,Goalkeeper
28 April 1907  ,Belgium,BEL,Raymond BRAINE,Forward
3 March 1918  ,Belgium,BEL,Fernand BUYLE,Forward
26 October 1913  ,Belgium,BEL,Jean CAPELLE,Forward
16 March 1912  ,Belgium,BEL,Pierre DALEM,Midfielder
12 September 1908  ,Belgium,BEL,Alphonse DE WINTER,Midfielder
30 January 1914  ,Belgium,BEL,Henri ISEMBORGHS,Forward
29 November 1912  ,Belgium,BEL,Robert PAVERICK,Defender
25 February 1914  ,Belgium,BEL,Jean PETIT,Defender
12 February 1912  ,Belgium,BEL,Corneel SEYS,Defender
17 January 1911  ,Belgium,BEL,Philibert SMELLINCKX,Defender
2 November 1907  ,Belgium,BEL,Emile STIJNEN,Midfielder
17 June 1914  ,Belgium,BEL,John VAN ALPHEN,Midfielder
21 June 1909  ,Belgium,BEL,Andre VAN DE WEYER,unspecified
7 September 1916  ,Belgium,BEL,Charles VANDEWOUWER,Forward
11 May 1910  ,Belgium,BEL,Bernard VOORHOOF,Forward
11 February 1912  ,Belgium,BEL,Robert BRAET,Goalkeeper
21 June 1909  ,Belgium,BEL,Andre VANDEWEYER,Goalkeeper
5 April 1917  ,Belgium,BEL,Frans GOMMERS,Defender
6 September 1912  ,Belgium,BEL,Paul HENRY,Midfielder
28 February 1916  ,Belgium,BEL,Artur CEULEERS,Forward
30 November 1910  ,Belgium,BEL,Jean FIEVEZ,Forward
1 April 1917  ,Belgium,BEL,Joseph NELIS,Forward
14 August 1894  ,Belgium,BEL,BUTLER Jack,Coach
21 April 1911  ,Brazil,BRA,BRANDAO,Midfielder
2 July 1912  ,Brazil,BRA,HERCULES,Forward
1 November 1910  ,Brazil,BRA,LOPES,Forward
2 November 1917  ,Brazil,BRA,PERACIO,Forward
20 June 1912  ,Brazil,BRA,ROBERTO,Forward
12 November 1910  ,Brazil,BRA,PATESKO,Forward
2 March 1911  ,Brazil,BRA,MARTIM,Midfielder
6 September 1913  ,Brazil,BRA,LEONIDAS,Forward
17 June 1912  ,Brazil,BRA,WALTER GOULART,Goalkeeper
19 November 1912  ,Brazil,BRA,DOMINGOS DA GUIA,Defender
1 January 1909  ,Brazil,BRA,MACHADO,Defender
8 March 1914  ,Brazil,BRA,AFONSINHO,Midfielder
12 August 1913  ,Brazil,BRA,ZEZE PROCOPIO,Midfielder
29 March 1911  ,Brazil,BRA,LUISINHO,Forward
26 March 1911  ,Brazil,BRA,ROMEU,Forward
7 December 1909  ,Brazil,BRA,JAU,Defender
3 June 1915  ,Brazil,BRA,ARGEMIRO,Midfielder
20 December 1905  ,Brazil,BRA,TIM,Forward
20 May 1910  ,Brazil,BRA,BATATAIS,Goalkeeper
12 February 1912  ,Brazil,BRA,NIGINHO,Forward
8 February 1912  ,Brazil,BRA,NARIZ,Defender
6 May 1914  ,Brazil,BRA,BRITTO,Midfielder
12 April 1896  ,Brazil,BRA,PIMENTA Ademar,Coach
1 January 1911  ,Cuba,CUB,Juan ALONSO,Forward
12 November 1914  ,Cuba,CUB,Joaquin ARIAS,Midfielder
1 January 1911  ,Cuba,CUB,Juan AYRA,Goalkeeper
3 September 1915  ,Cuba,CUB,Jacinto BARQUIN,Defender
1 January 1906  ,Cuba,CUB,Pedro BERGES,Midfielder
1 January 1913  ,Cuba,CUB,Benito CARVAJALES,Goalkeeper
22 January 1916  ,Cuba,CUB,Manuel CHORENS,Defender
1 January 1915  ,Cuba,CUB,Tomas FERNANDEZ,Midfielder
1 January 1908  ,Cuba,CUB,Pedro FERRER,Forward
1 January 1900  ,Cuba,CUB,Jose RODRIGUEZ,Midfielder
26 June 1912  ,Cuba,CUB,Hector SOCORRO,Forward
1 January 1910  ,Cuba,CUB,Mario SOSA,Forward
1 January 1913  ,Cuba,CUB,Juan TUNAS,Forward
20 March 1912  ,Cuba,CUB,Jose MAGRINA,Forward
