Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Brazil,BRA,22,6,6
Uruguay,URU,15,5,4
Sweden,SWE,11,15,5
Spain,ESP,10,12,6
Yugoslavia,YUG,7,3,3
Chile,CHI,5,6,3
Italy,ITA,4,3,2
USA,USA,4,8,3
Switzerland,SUI,4,6,3
Paraguay,PAR,2,4,2
Mexico,MEX,2,10,3
England,ENG,2,2,3
