Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Hungary,HUN,15,5,4
Brazil,BRA,14,11,5
Sweden,SWE,11,9,3
Italy,ITA,11,5,4
Poland,POL,5,6,1
Switzerland,SUI,5,5,3
Czechoslovakia,TCH,5,3,3
Cuba,CUB,5,12,3
France,FRA,4,4,2
Romania,ROU,4,5,2
Germany,GER,3,5,2
Belgium,BEL,1,3,1
Norway,NOR,1,2,1
